simulation_time	physical_time	district_heating_grid.energy_sold_inside	district_heating_grid.energy_sold_outside	district_heating_grid.energy_bought_inside	district_heating_grid.energy_bought_outside	district_heating_grid.energy_erased_consumption	district_heating_grid.energy_erased_production	district_heating_grid.money_spent_inside	district_heating_grid.money_spent_outside	district_heating_grid.money_earned_inside	district_heating_grid.money_earned_outside	
870	2018-02-06 06:00:00	1589.500391252075	0	1589.5003912520747	0	0.0	576.4996087479253	354.5921463771941	0	706.2373330132449	0	
871	2018-02-06 07:00:00	1631.64323969069	0	1631.64323969069	0	0.0	534.35676030931	363.99354266784	0	724.7616244954936	0	
872	2018-02-06 08:00:00	1796.3389146959641	0	1796.3389146959644	0	0.0	369.6610853040356	400.7345168887765	0	789.5979244308517	0	
873	2018-02-06 09:00:00	1592.284665863357	0	1592.284665863357	0	0.0	573.7153341366429	355.2132735665624	0	692.3466738965333	0	
874	2018-02-06 10:00:00	1476.3918326571657	0	1476.3918326571657	0	0.0	689.6081673428343	329.3594337672865	0	641.4048723203493	0	
875	2018-02-06 11:00:00	1307.820438902706	0	1307.820438902706	0	0.0	858.179561097294	291.7538486047034	0	567.3077063913545	0	
876	2018-02-06 12:00:00	1202.463317806168	0	1202.463317806168	0	0.0	963.5366821938319	323.76574651179925	0	721.5836807291114	0	
877	2018-02-06 13:00:00	1170.8561814772072	0	1170.8561814772072	0	0.0	995.1438185227928	315.2554593894308	0	702.9145882354399	0	
878	2018-02-06 14:00:00	1144.5169012030728	0	1144.5169012030728	0	0.0	1021.4830987969272	308.16355345412376	0	687.3570111573802	0	
879	2018-02-06 15:00:00	1102.3740527644577	0	1102.3740527644577	0	0.0	1063.6259472355423	296.81650395763234	0	662.4648878324845	0	
880	2018-02-06 16:00:00	1081.3026285451501	0	1081.3026285451501	0	0.0	1084.6973714548499	291.1429792093867	0	650.0188261700364	0	
881	2018-02-06 17:00:00	1232.6783168294885	0	1232.6783168294887	0	0.0	933.3216831705113	331.90119777237203	0	728.0946072531982	0	
882	2018-02-06 18:00:00	1162.804050811098	0	1162.804050811098	0	0.0	1003.195949188902	313.0874064787776	0	675.4867408806577	0	
883	2018-02-06 19:00:00	1336.643300620385	0	1336.643300620385	0	0.0	829.3566993796151	359.8939856518044	0	778.1667495958524	0	
884	2018-02-06 20:00:00	1442.0004217169226	0	1442.0004217169226	0	0.0	723.9995782830774	388.2616093930329	0	840.3970579080915	0	
885	2018-02-06 21:00:00	1505.2146943748448	0	1505.2146943748448	0	0.0	660.7853056251552	405.2821836377698	0	877.735242895435	0	
886	2018-02-06 22:00:00	1552.625398868287	0	1552.625398868287	0	0.0	613.374601131713	418.0476143213227	0	905.7388816359428	0	
887	2018-02-06 23:00:00	1459.196127187044	0	1459.196127187044	0	0.0	706.8038728129559	392.891588816013	0	861.8897701245124	0	
888	2018-02-07 00:00:00	1596.1603846125429	0	1596.1603846125429	0	0.0	569.8396153874571	356.077884508209	0	701.6075398901702	0	
889	2018-02-07 01:00:00	1722.588929928388	0	1722.588929928388	0	0.0	443.4110700716119	384.28207338014647	0	757.1804143369164	0	
890	2018-02-07 02:00:00	1780.5353465314834	0	1780.5353465314834	0	0.0	385.46465346851664	397.2089932797843	0	782.6513151250083	0	
891	2018-02-07 03:00:00	1854.2853312990599	0	1854.28533129906	0	0.0	311.7146687009399	413.6614367884145	0	815.0688252189436	0	
892	2018-02-07 04:00:00	1912.2317479021553	0	1912.2317479021553	0	0.0	253.76825209784465	426.5883566880524	0	840.5397260070355	0	
893	2018-02-07 05:00:00	1928.035316066636	0	1928.035316066636	0	0.0	237.96468393336409	430.1138802970446	0	847.4863353128789	0	
894	2018-02-07 06:00:00	2000.3931635285712	0	2000.3931635285712	0	0.0	165.60683647142878	446.2557602109906	0	886.8491749651699	0	
895	2018-02-07 07:00:00	1963.5181711447829	0	1963.518171144783	0	0.0	202.48182885521692	438.0295384566755	0	870.6404199182022	0	
896	2018-02-07 08:00:00	2096.6067098210956	0	2096.6067098210956	0	0.0	69.39329017890441	467.7194654596276	0	921.5835012418736	0	
897	2018-02-07 09:00:00	1734.5167793436826	0	1734.5167793436826	0	0.0	431.48322065631737	386.9429860474919	0	754.8661576491227	0	
898	2018-02-07 10:00:00	1476.3918326571657	0	1476.3918326571657	0	0.0	689.6081673428343	329.3594337672865	0	641.4048723203493	0	
899	2018-02-07 11:00:00	1334.15971917684	0	1334.15971917684	0	0.0	831.8402808231599	297.6297212863569	0	578.88538856776	0	
900	2018-02-07 12:00:00	1223.534742025476	0	1223.5347420254757	0	0.0	942.4652579745243	329.43927126004496	0	734.0297423915595	0	
901	2018-02-07 13:00:00	1160.3204693675534	0	1160.3204693675534	0	0.0	1005.6795306324466	312.418697015308	0	696.6915574042159	0	
902	2018-02-07 14:00:00	1065.4990603806696	0	1065.4990603806696	0	0.0	1100.5009396193304	286.88783564820244	0	640.6842799232006	0	
903	2018-02-07 15:00:00	1060.2312043258428	0	1060.2312043258428	0	0.0	1105.7687956741572	285.469454461141	0	637.5727645075887	0	
904	2018-02-07 16:00:00	1133.9811890934188	0	1133.9811890934188	0	0.0	1032.0188109065812	305.3267910800008	0	681.133980326156	0	
905	2018-02-07 17:00:00	1285.3568773777572	0	1285.356877377757	0	0.0	880.643122622243	346.08500964298617	0	759.2097614093178	0	
906	2018-02-07 18:00:00	1157.5361947562715	0	1157.5361947562715	0	0.0	1008.4638052437285	311.6690252917163	0	672.3752254650458	0	
907	2018-02-07 19:00:00	1226.0183234690205	0	1226.0183234690207	0	0.0	939.9816765309793	330.1079807235147	0	712.8249258680012	0	
908	2018-02-07 20:00:00	1278.6968840172894	0	1278.6968840172894	0	0.0	887.3031159827106	344.2917925941289	0	743.9400800241208	0	
909	2018-02-07 21:00:00	1389.3218611686539	0	1389.3218611686539	0	0.0	776.6781388313461	374.07779752241873	0	809.281903751972	0	
910	2018-02-07 22:00:00	1510.4825504296718	0	1510.4825504296718	0	0.0	655.5174495703282	406.7005648248313	0	880.8467583110471	0	
911	2018-02-07 23:00:00	1432.8568469129098	0	1432.8568469129095	0	0.0	733.1431530870905	385.79968288070586	0	846.3321930464526	0	
912	2018-02-08 00:00:00	1438.1247029677365	0	1438.1247029677365	0	0.0	727.8752970322635	320.82264841828726	0	632.1414468317375	0	
913	2018-02-08 01:00:00	1496.0711195708323	0	1496.0711195708323	0	0.0	669.9288804291677	333.7495683179253	0	657.6123476198294	0	
914	2018-02-08 02:00:00	1601.4282406673697	0	1601.4282406673697	0	0.0	564.5717593326303	357.2530590445398	0	703.9230763254512	0	
915	2018-02-08 03:00:00	1659.3746572704654	0	1659.3746572704654	0	0.0	506.6253427295346	370.17997894417766	0	729.3939771135433	0	
916	2018-02-08 04:00:00	1722.588929928388	0	1722.588929928388	0	0.0	443.4110700716119	384.28207338014647	0	757.1804143369164	0	
917	2018-02-08 05:00:00	1791.0710586411374	0	1791.0710586411374	0	0.0	374.92894135886263	399.5593423524458	0	787.2823879955705	0	
