simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	WT_field_2.LVE.energy	WT_field_2.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
6403	2021-09-24 19:00:00	0	0	0	0	-4.249614228925355	0.04	-4.249614228925355	0.04	18729.54825318512	0.18	
6404	2021-09-24 20:00:00	0	0	0	0	-6.500801939399381	0.04	-6.500801939399381	0.04	20960.7824183242	0.18	
6405	2021-09-24 21:00:00	0	0	0	0	-10.266936551847106	0.06	-10.266936551847106	0.06	20292.6369000548	0.2	
6406	2021-09-24 22:00:00	0	0	0	0	-14.948799291144987	0.06	-14.948799291144987	0.06	20138.9058140892	0.2	
6407	2021-09-24 23:00:00	0	0	0	0	-21.122647114863064	0.06	-21.122647114863064	0.06	14435.23530931188	0.2	
6408	2021-09-25 00:00:00	0	0	0	0	-14.961152706263842	0.06	-14.961152706263842	0.06	9373.71221874034	0.2	
6409	2021-09-25 01:00:00	0	0	0	0	-10.00831685063706	0.06	-10.00831685063706	0.06	9759.60313978636	0.2	
6410	2021-09-25 02:00:00	0	0	0	0	-6.3039411805209	0.06	-6.3039411805209	0.06	9162.42854855212	0.2	
6411	2021-09-25 03:00:00	0	0	0	0	-2.551991902687151	0.06	-2.551991902687151	0.06	8677.6921276662	0.2	
6412	2021-09-25 04:00:00	0	0	0	0	0	0	0	0	8105.24516727928	0.2	
6413	2021-09-25 05:00:00	0	0	0	0	0	0	0	0	7536.06006868768	0.18	
6414	2021-09-25 06:00:00	-155.22163765546875	0.04	-155.22163765546875	0.04	-10.305209960369082	0.04	-10.305209960369082	0.04	8667.35788068894	0.18	
6415	2021-09-25 07:00:00	-1441.1715869179689	0.04	-1441.1715869179689	0.04	-46.05699858173017	0.04	-46.05699858173017	0.04	13353.076710794221	0.18	
6416	2021-09-25 08:00:00	-2865.1581921875	0.04	-2865.1581921875	0.04	-129.34597220472128	0.04	-129.34597220472128	0.04	12517.86904904622	0.18	
6417	2021-09-25 09:00:00	-4039.3029579500003	0.06	-4039.3029579500003	0.06	-88.70888409844483	0.06	-88.70888409844483	0.06	9420.7711488249	0.2	
6418	2021-09-25 10:00:00	-4920.940518046874	0.06	-4920.940518046874	0.06	-58.47991351159601	0.06	-58.47991351159601	0.06	9914.30576151728	0.2	
6419	2021-09-25 11:00:00	-5293.5285199875	0.06	-5293.5285199875	0.06	-36.52103051386532	0.06	-36.52103051386532	0.06	8812.27405005314	0.2	
6420	2021-09-25 12:00:00	-5535.378190546875	0.06	-5535.378190546875	0.06	-56.64307652309608	0.06	-56.64307652309608	0.06	9759.13010185466	0.2	
6421	2021-09-25 13:00:00	-5212.077584261719	0.06	-5212.077584261719	0.06	-83.7605872515086	0.06	-83.7605872515086	0.06	8899.09592876906	0.2	
6422	2021-09-25 14:00:00	-4567.686385171875	0.06	-4567.686385171875	0.06	-119.52052605168085	0.06	-119.52052605168085	0.06	11265.59586212696	0.2	
6423	2021-09-25 15:00:00	-3581.348147686719	0.06	-3581.348147686719	0.06	-128.4084988464408	0.06	-128.4084988464408	0.06	10691.65620653862	0.2	
6424	2021-09-25 16:00:00	-2456.5819010992186	0.06	-2456.5819010992186	0.06	-136.37383191793182	0.06	-136.37383191793182	0.06	14040.21868333578	0.2	
6425	2021-09-25 17:00:00	-1059.253994805469	0.04	-1059.253994805469	0.04	-146.41551433235014	0.04	-146.41551433235014	0.04	15456.6711595813	0.18	
6426	2021-09-25 18:00:00	-34.28973695	0.04	-34.28973695	0.04	-42.27373754003654	0.04	-42.27373754003654	0.04	16765.5266859565	0.18	
6427	2021-09-25 19:00:00	0	0	0	0	-5.0194265606081085	0.04	-5.0194265606081085	0.04	20477.0149198518	0.18	
6428	2021-09-25 20:00:00	0	0	0	0	0	0	0	0	20987.815751657403	0.18	
6429	2021-09-25 21:00:00	0	0	0	0	0	0	0	0	21038.2335667216	0.2	
6430	2021-09-25 22:00:00	0	0	0	0	0	0	0	0	18488.072480755858	0.2	
6431	2021-09-25 23:00:00	0	0	0	0	0	0	0	0	14463.978642645221	0.2	
6432	2021-09-26 00:00:00	0	0	0	0	0	0	0	0	9373.71221874034	0.2	
6433	2021-09-26 01:00:00	0	0	0	0	0	0	0	0	9759.60313978636	0.2	
6434	2021-09-26 02:00:00	0	0	0	0	0	0	0	0	9162.42854855212	0.2	
6435	2021-09-26 03:00:00	0	0	0	0	0	0	0	0	8677.6921276662	0.2	
6436	2021-09-26 04:00:00	0	0	0	0	0	0	0	0	8105.24516727928	0.2	
6437	2021-09-26 05:00:00	0	0	0	0	0	0	0	0	7536.06006868768	0.18	
6438	2021-09-26 06:00:00	-155.22163765546875	0.04	-155.22163765546875	0.04	0	0	0	0	8667.35788068894	0.18	
6439	2021-09-26 07:00:00	-1441.1715869179689	0.04	-1441.1715869179689	0.04	0	0	0	0	13353.076710794221	0.18	
6440	2021-09-26 08:00:00	-2865.1581921875	0.04	-2865.1581921875	0.04	0	0	0	0	12517.86904904622	0.18	
6441	2021-09-26 09:00:00	-4039.3029579500003	0.06	-4039.3029579500003	0.06	0	0	0	0	9420.7711488249	0.2	
6442	2021-09-26 10:00:00	-4920.940518046874	0.06	-4920.940518046874	0.06	0	0	0	0	9914.30576151728	0.2	
6443	2021-09-26 11:00:00	-5293.5285199875	0.06	-5293.5285199875	0.06	-6.494333539037607	0.06	-6.494333539037607	0.06	8812.27405005314	0.2	
6444	2021-09-26 12:00:00	-5535.378190546875	0.06	-5535.378190546875	0.06	-5.21487545282797	0.06	-5.21487545282797	0.06	9759.13010185466	0.2	
6445	2021-09-26 13:00:00	-5212.077584261719	0.06	-5212.077584261719	0.06	-3.8766600914529556	0.06	-3.8766600914529556	0.06	8899.09592876906	0.2	
6446	2021-09-26 14:00:00	-4567.686385171875	0.06	-4567.686385171875	0.06	-2.8494352038415682	0.06	-2.8494352038415682	0.06	11265.59586212696	0.2	
6447	2021-09-26 15:00:00	-3581.348147686719	0.06	-3581.348147686719	0.06	0	0	0	0	10691.65620653862	0.2	
6448	2021-09-26 16:00:00	-2456.5819010992186	0.06	-2456.5819010992186	0.06	0	0	0	0	14040.21868333578	0.2	
6449	2021-09-26 17:00:00	-1059.253994805469	0.04	-1059.253994805469	0.04	0	0	0	0	15456.6711595813	0.18	
6450	2021-09-26 18:00:00	-34.28973695	0.04	-34.28973695	0.04	0	0	0	0	16765.5266859565	0.18	
6451	2021-09-26 19:00:00	0	0	0	0	0	0	0	0	20477.0149198518	0.18	
6452	2021-09-26 20:00:00	0	0	0	0	0	0	0	0	20987.815751657403	0.18	
6453	2021-09-26 21:00:00	0	0	0	0	0	0	0	0	21038.2335667216	0.2	
6454	2021-09-26 22:00:00	0	0	0	0	0	0	0	0	18488.072480755858	0.2	
6455	2021-09-26 23:00:00	0	0	0	0	0	0	0	0	14463.978642645221	0.2	
6456	2021-09-27 00:00:00	0	0	0	0	0	0	0	0	9373.71221874034	0.2	
6457	2021-09-27 01:00:00	0	0	0	0	0	0	0	0	9759.60313978636	0.2	
6458	2021-09-27 02:00:00	0	0	0	0	0	0	0	0	9162.42854855212	0.2	
6459	2021-09-27 03:00:00	0	0	0	0	0	0	0	0	8677.6921276662	0.2	
6460	2021-09-27 04:00:00	0	0	0	0	0	0	0	0	8105.24516727928	0.2	
6461	2021-09-27 05:00:00	0	0	0	0	0	0	0	0	7536.06006868768	0.18	
6462	2021-09-27 06:00:00	-155.22163765546875	0.04	-155.22163765546875	0.04	0	0	0	0	8667.35788068894	0.18	
6463	2021-09-27 07:00:00	-1441.1715869179689	0.04	-1441.1715869179689	0.04	0	0	0	0	13353.076710794221	0.18	
6464	2021-09-27 08:00:00	-2865.1581921875	0.04	-2865.1581921875	0.04	0	0	0	0	12517.86904904622	0.18	
6465	2021-09-27 09:00:00	-4039.3029579500003	0.06	-4039.3029579500003	0.06	0	0	0	0	9420.7711488249	0.2	
6466	2021-09-27 10:00:00	-4920.940518046874	0.06	-4920.940518046874	0.06	-0.13551829176560917	0.06	-0.13551829176560917	0.06	9914.30576151728	0.2	
6467	2021-09-27 11:00:00	-5293.5285199875	0.06	-5293.5285199875	0.06	-3.0213427516942497	0.06	-3.0213427516942497	0.06	8812.27405005314	0.2	
6468	2021-09-27 12:00:00	-5535.378190546875	0.06	-5535.378190546875	0.06	-0.8460371276218073	0.06	-0.8460371276218073	0.06	9759.13010185466	0.2	
6469	2021-09-27 13:00:00	-5212.077584261719	0.06	-5212.077584261719	0.06	0	0	0	0	8899.09592876906	0.2	
6470	2021-09-27 14:00:00	-4567.686385171875	0.06	-4567.686385171875	0.06	0	0	0	0	11265.59586212696	0.2	
6471	2021-09-27 15:00:00	-3581.348147686719	0.06	-3581.348147686719	0.06	0	0	0	0	10691.65620653862	0.2	
6472	2021-09-27 16:00:00	-2456.5819010992186	0.06	-2456.5819010992186	0.06	0	0	0	0	14040.21868333578	0.2	
6473	2021-09-27 17:00:00	-1059.253994805469	0.04	-1059.253994805469	0.04	0	0	0	0	15456.6711595813	0.18	
6474	2021-09-27 18:00:00	-34.28973695	0.04	-34.28973695	0.04	0	0	0	0	16765.5266859565	0.18	
6475	2021-09-27 19:00:00	0	0	0	0	0	0	0	0	20477.0149198518	0.18	
6476	2021-09-27 20:00:00	0	0	0	0	0	0	0	0	20987.815751657403	0.18	
6477	2021-09-27 21:00:00	0	0	0	0	0	0	0	0	21038.2335667216	0.2	
6478	2021-09-27 22:00:00	0	0	0	0	0	0	0	0	18488.072480755858	0.2	
6479	2021-09-27 23:00:00	0	0	0	0	0	0	0	0	14463.978642645221	0.2	
6480	2021-09-28 00:00:00	0	0	0	0	0	0	0	0	9373.71221874034	0.2	
6481	2021-09-28 01:00:00	0	0	0	0	0	0	0	0	9759.60313978636	0.2	
6482	2021-09-28 02:00:00	0	0	0	0	0	0	0	0	9162.42854855212	0.2	
