simulation_time	physical_time	old_house.energy	old_house.money	new_house.energy	new_house.money	office.energy	office.money	incinerator.energy	incinerator.money	fast_gas_boiler.energy	fast_gas_boiler.money	
19	2018-01-01 19:00:00	392.1877377933643	0.5	214.23884105612484	0.5	735.4845778257228	0.65	-722.3769199830549	0.2	-619.5342366921569	0.35	
20	2018-01-01 20:00:00	413.751324751075	0.5	226.01829623446847	0.5	786.4272325668983	0.65	-767.7495527433736	0.2	-658.4473008090682	0.35	
21	2018-01-01 21:00:00	439.3580842633566	0.5	240.00639925875154	0.5	846.9216350720444	0.65	-821.629554146252	0.2	-704.6565644479005	0.35	
22	2018-01-01 22:00:00	466.312567960495	0.5	254.73071823168107	0.5	910.599953498514	0.65	-878.3453450966504	0.2	-753.2978945940397	0.35	
23	2018-01-01 23:00:00	397.57863453279197	0.5	217.18370485071074	0.5	939.2551967904252	0.65	-836.5579165183749	0.2	-717.4596196555531	0.35	
24	2018-01-02 00:00:00	417.7944973056458	0.5	228.2269440804079	0.5	987.0139356102773	0.4	-879.0947597311736	0.2	-753.9406172651574	0.25	
25	2018-01-02 01:00:00	432.61946333907196	0.5	236.32531951551914	0.5	1022.0370107448356	0.4	-910.2884447538926	0.2	-780.6933488455339	0.25	
26	2018-01-02 02:00:00	425.88084241478737	0.5	232.64423977228677	0.5	1006.1174311382182	0.4	-896.1094970162932	0.2	-768.5330163089993	0.25	
27	2018-01-02 03:00:00	401.62180708736275	0.5	219.39235269665016	0.5	948.8069445543956	0.4	-845.0652851609345	0.2	-724.7558191774739	0.25	
28	2018-01-02 04:00:00	394.88318616307816	0.5	215.7112729534178	0.5	932.8873649477782	0.4	-830.8863374233351	0.2	-712.5954866409392	0.25	
29	2018-01-02 05:00:00	396.23091034793504	0.5	216.44748890206426	0.5	936.0712808691017	0.4	-833.7221269708549	0.2	-715.027553148246	0.25	
30	2018-01-02 06:00:00	477.09436143935034	0.5	260.62044582085286	0.5	936.0712808691017	0.4	-901.0316614768096	0.2	-772.7544266524953	0.25	
31	2018-01-02 07:00:00	493.26705165763343	0.5	269.4550372046106	0.5	974.2782719249834	0.4	-935.0611360470485	0.2	-801.9392247401788	0.25	
32	2018-01-02 08:00:00	504.0488451364888	0.5	275.3447647937824	0.5	1190.7845545749797	0.4	-1060.585290772448	0.2	-909.5928737328028	0.25	
33	2018-01-02 09:00:00	400.2740829025058	0.5	218.6561367480037	0.5	1136.6579839124806	0.4	-945.0673339586549	0.2	-810.5208696043352	0.25	
34	2018-01-02 10:00:00	319.41063181109047	0.5	174.48317982921506	0.5	945.6230286330721	0.4	-774.9199611074599	0.2	-664.5968791659176	0.25	
35	2018-01-02 11:00:00	246.63352582881672	0.5	134.7275186023053	0.5	773.6915688816044	0.4	-621.7873255413846	0.2	-533.2652877713418	0.25	
36	2018-01-02 12:00:00	219.6790421316783	0.5	120.00319962937577	0.5	710.013250455135	0.65	-565.0715345909863	0.2	-484.62395762520265	0.35	
37	2018-01-02 13:00:00	196.7677309891106	0.5	107.48752850238566	0.5	655.886679792636	0.65	-516.8631122831478	0.2	-443.2788270009844	0.35	
38	2018-01-02 14:00:00	181.94276495568445	0.5	99.3891530672744	0.5	620.8636046580776	0.65	-485.6694272604286	0.2	-416.52609542060776	0.35	
39	2018-01-02 15:00:00	176.5518682162568	0.5	96.44428927268851	0.5	608.1279409727838	0.65	-474.32626907034904	0.2	-406.79782939138	0.35	
40	2018-01-02 16:00:00	176.5518682162568	0.5	96.44428927268851	0.5	608.1279409727838	0.65	-474.32626907034904	0.2	-406.79782939138	0.35	
41	2018-01-02 17:00:00	261.45849186224285	0.5	142.82589403741653	0.5	617.6796887367541	0.65	-550.1431722188634	0.2	-471.8209024175501	0.35	
42	2018-01-02 18:00:00	264.1539402319567	0.5	144.2983259347095	0.5	433.0125652999927	0.65	-452.9769129686631	0.2	-388.4879184979958	0.35	
43	2018-01-02 19:00:00	261.45849186224285	0.5	142.82589403741653	0.5	426.64473345734564	0.65	-447.3053338736232	0.2	-383.6237854833818	0.35	
44	2018-01-02 20:00:00	262.8062160470998	0.5	143.56210998606304	0.5	429.8286493786691	0.65	-450.14112342114316	0.2	-386.05585199068884	0.35	
45	2018-01-02 21:00:00	260.1107676773859	0.5	142.08967808877009	0.5	423.4608175360222	0.65	-444.46954432610335	0.2	-381.1917189760749	0.35	
46	2018-01-02 22:00:00	253.37214675310133	0.5	138.40859834553768	0.5	407.5412379294048	0.65	-430.2905965885037	0.2	-369.0313864395401	0.35	
47	2018-01-02 23:00:00	175.20414403139986	0.5	95.70807332404202	0.5	413.9090697720518	0.65	-368.6526411775889	0.2	-316.1686459499047	0.35	
48	2018-01-03 00:00:00	176.5518682162568	0.5	96.44428927268851	0.5	417.0929856933753	0.4	-371.48843072510886	0.2	-318.6007124572117	0.25	
49	2018-01-03 01:00:00	171.16097147682908	0.5	93.49942547810258	0.5	404.3573220080813	0.4	-360.1452725350292	0.2	-308.8724464279839	0.25	
50	2018-01-03 02:00:00	167.11779892225832	0.5	91.29077763216314	0.5	394.80557424411086	0.4	-351.6379038924694	0.2	-301.5762469060629	0.25	
51	2018-01-03 03:00:00	168.46552310711525	0.5	92.02699358080963	0.5	397.9894901654344	0.4	-354.47369343998935	0.2	-304.00831341336993	0.25	
52	2018-01-03 04:00:00	169.81324729197217	0.5	92.76320952945612	0.5	401.1734060867579	0.4	-357.3094829875093	0.2	-306.4403799206769	0.25	
53	2018-01-03 05:00:00	176.5518682162568	0.5	96.44428927268851	0.5	417.0929856933753	0.4	-371.48843072510886	0.2	-318.6007124572117	0.25	
54	2018-01-03 06:00:00	268.19711278652744	0.5	146.50697378064893	0.5	442.56431306396297	0.4	-461.48428161122274	0.2	-395.7841180199166	0.25	
55	2018-01-03 07:00:00	268.19711278652744	0.5	146.50697378064893	0.5	442.56431306396297	0.4	-461.48428161122274	0.2	-395.7841180199166	0.25	
56	2018-01-03 08:00:00	264.1539402319567	0.5	144.2983259347095	0.5	624.0475205794012	0.4	-555.8147513139033	0.2	-476.6850354321641	0.25	
57	2018-01-03 09:00:00	181.94276495568445	0.5	99.3891530672744	0.5	620.8636046580776	0.4	-485.6694272604286	0.2	-416.52609542060776	0.25	
58	2018-01-03 10:00:00	172.50869566168603	0.5	94.23564142674907	0.5	598.5761932088134	0.4	-465.81890042778934	0.2	-399.5016298694591	0.25	
59	2018-01-03 11:00:00	161.72690218283063	0.5	88.34591383757726	0.5	573.1048658382256	0.4	-443.1325840476301	0.2	-380.0450978110035	0.25	
60	2018-01-03 12:00:00	149.59738451911835	0.5	81.71997029975897	0.5	544.4496225463143	0.65	-417.6104781199508	0.2	-358.15649924524087	0.35	
61	2018-01-03 13:00:00	142.85876359483376	0.5	78.03889055652658	0.5	528.530042939697	0.65	-403.43153038235124	0.2	-345.996166708706	0.35	
62	2018-01-03 14:00:00	142.85876359483376	0.5	78.03889055652658	0.5	528.530042939697	0.65	-403.43153038235124	0.2	-345.996166708706	0.35	
63	2018-01-03 15:00:00	136.12014267054914	0.5	74.3578108132942	0.5	512.6104633330796	0.65	-389.2525826447517	0.2	-333.8358341721713	0.35	
64	2018-01-03 16:00:00	134.77241848569219	0.5	73.6215948646477	0.5	509.426547411756	0.65	-386.4167930972317	0.2	-331.40376766486423	0.35	
65	2018-01-03 17:00:00	223.72221468624906	0.5	122.21184747531521	0.5	528.530042939697	0.65	-470.74106488830586	0.2	-403.7230402129553	0.35	
66	2018-01-03 18:00:00	234.5040081651044	0.5	128.101575064487	0.5	362.96641503087614	0.65	-390.58954292322494	0.2	-334.98245533724264	0.35	
67	2018-01-03 19:00:00	245.2858016439598	0.5	133.99130265365883	0.5	388.43774240146394	0.65	-413.2758593033842	0.2	-354.4389873956983	0.35	
68	2018-01-03 20:00:00	250.6766983833875	0.5	136.93616644824473	0.5	401.1734060867579	0.65	-424.6190174934639	0.2	-364.1672534249262	0.35	
69	2018-01-03 21:00:00	250.6766983833875	0.5	136.93616644824473	0.5	401.1734060867579	0.65	-424.6190174934639	0.2	-364.1672534249262	0.35	
70	2018-01-03 22:00:00	252.0244225682444	0.5	137.6723823968912	0.5	404.3573220080813	0.65	-427.4548070409838	0.2	-366.59931993223313	0.35	
71	2018-01-03 23:00:00	175.20414403139986	0.5	95.70807332404202	0.5	413.9090697720518	0.65	-368.6526411775889	0.2	-316.1686459499047	0.35	
72	2018-01-04 00:00:00	181.94276495568445	0.5	99.3891530672744	0.5	429.8286493786691	0.4	-382.83158891518843	0.2	-328.3289784864395	0.25	
73	2018-01-04 01:00:00	190.029110064826	0.5	103.80644875915327	0.5	448.93214490661	0.4	-399.84632620030806	0.2	-342.92137753028135	0.25	
74	2018-01-04 02:00:00	195.4200068042537	0.5	106.75131255373918	0.5	461.6678085919039	0.4	-411.18948439038763	0.2	-352.6496435595091	0.25	
75	2018-01-04 03:00:00	195.4200068042537	0.5	106.75131255373918	0.5	461.6678085919039	0.4	-411.18948439038763	0.2	-352.6496435595091	0.25	
76	2018-01-04 04:00:00	195.4200068042537	0.5	106.75131255373918	0.5	461.6678085919039	0.4	-411.18948439038763	0.2	-352.6496435595091	0.25	
77	2018-01-04 05:00:00	196.7677309891106	0.5	107.48752850238566	0.5	464.85172451322734	0.4	-414.0252739379075	0.2	-355.0817100668161	0.25	
78	2018-01-04 06:00:00	278.9789062653828	0.5	152.39670136982076	0.5	468.0356404345508	0.4	-484.1705979913821	0.2	-415.2406500783723	0.25	
79	2018-01-04 07:00:00	280.3266304502398	0.5	153.13291731846724	0.5	471.2195563558743	0.4	-487.00638753890206	0.2	-417.67271658567927	0.25	
80	2018-01-04 08:00:00	280.3266304502398	0.5	153.13291731846724	0.5	662.2545116352828	0.4	-589.8442258841421	0.2	-505.8698335198475	0.25	
81	2018-01-04 09:00:00	198.11545517396752	0.5	108.22374445103213	0.5	659.0705957139593	0.4	-519.6989018306676	0.2	-445.7108935082913	0.25	
82	2018-01-04 10:00:00	191.3768342496829	0.5	104.54266470779974	0.5	643.151016107342	0.4	-505.51995409306807	0.2	-433.55056097175645	0.25	
83	2018-01-04 11:00:00	176.5518682162568	0.5	96.44428927268851	0.5	608.1279409727838	0.4	-474.32626907034904	0.2	-406.79782939138	0.25	
84	2018-01-04 12:00:00	157.68372962825987	0.5	86.13726599163782	0.5	563.553118074255	0.65	-434.6252154050702	0.2	-372.74889828908255	0.35	
85	2018-01-04 13:00:00	146.90193614940446	0.5	80.24753840246599	0.5	538.0817907036673	0.65	-411.9388990249109	0.2	-353.29236623062684	0.35	
86	2018-01-04 14:00:00	154.98828125854604	0.5	84.66483409434487	0.5	557.1852862316082	0.65	-428.9536363100304	0.2	-367.88476527446863	0.35	
87	2018-01-04 15:00:00	159.0314538131168	0.5	86.87348194028431	0.5	566.7370339955786	0.65	-437.4610049525902	0.2	-375.1809647963895	0.35	
88	2018-01-04 16:00:00	156.33600544340297	0.5	85.40105004299136	0.5	560.3692021529316	0.65	-431.7894258575503	0.2	-370.3168317817756	0.35	
89	2018-01-04 17:00:00	245.2858016439598	0.5	133.99130265365883	0.5	579.4726976808724	0.65	-516.1136976486245	0.2	-442.6361043298666	0.35	
90	2018-01-04 18:00:00	256.0675951228152	0.5	139.88103024283063	0.5	413.9090697720518	0.65	-435.96217568354365	0.2	-373.89551945415405	0.35	
91	2018-01-04 19:00:00	265.50166441681364	0.5	145.03454188335598	0.5	436.19648122131605	0.65	-455.812702516183	0.2	-390.91998500530275	0.35	
92	2018-01-04 20:00:00	272.24028534109823	0.5	148.71562162658836	0.5	452.11606082793344	0.65	-469.9916502537825	0.2	-403.0803175418375	0.35	
93	2018-01-04 21:00:00	277.63118208052595	0.5	151.6604854211743	0.5	464.85172451322734	0.65	-481.33480844386213	0.2	-412.8085835710653	0.35	
94	2018-01-04 22:00:00	283.0220788199536	0.5	154.60534921576019	0.5	477.58738819852124	0.65	-492.6779666339419	0.2	-422.5368496002932	0.35	
95	2018-01-04 23:00:00	203.5063519133952	0.5	111.16860824561803	0.5	480.77130411984473	0.65	-428.20422167550714	0.2	-367.2420426033509	0.35	
96	2018-01-05 00:00:00	202.1586277285383	0.5	110.43239229697156	0.5	477.58738819852124	0.4	-425.36843212798715	0.2	-364.8099760960439	0.25	
97	2018-01-05 01:00:00	203.5063519133952	0.5	111.16860824561803	0.5	480.77130411984473	0.4	-428.20422167550714	0.2	-367.2420426033509	0.25	
98	2018-01-05 02:00:00	208.8972486528229	0.5	114.11347204020394	0.5	493.50696780513863	0.4	-439.5473798655868	0.2	-376.9703086325787	0.25	
99	2018-01-05 03:00:00	219.6790421316783	0.5	120.00319962937577	0.5	518.9782951757264	0.4	-462.2336962457461	0.2	-396.4268406910344	0.25	
100	2018-01-05 04:00:00	226.4176630559629	0.5	123.68427937260816	0.5	534.8978747823438	0.4	-476.4126439833457	0.2	-408.5871732275692	0.25	
101	2018-01-05 05:00:00	227.7653872408198	0.5	124.42049532125462	0.5	538.0817907036673	0.4	-479.24843353086555	0.2	-411.0192397348761	0.25	
102	2018-01-05 06:00:00	308.6288383322351	0.5	168.59345224004323	0.5	538.0817907036673	0.4	-546.5579680368202	0.2	-468.7461132391254	0.25	
103	2018-01-05 07:00:00	308.6288383322351	0.5	168.59345224004323	0.5	538.0817907036673	0.4	-546.5579680368202	0.2	-468.7461132391254	0.25	
104	2018-01-05 08:00:00	311.324286701949	0.5	170.0658841373362	0.5	735.4845778257228	0.4	-655.0673854771004	0.2	-561.8073631879076	0.25	
105	2018-01-05 09:00:00	226.4176630559629	0.5	123.68427937260816	0.5	725.9328300617524	0.4	-579.250482328586	0.2	-496.7842901617376	0.25	
106	2018-01-05 10:00:00	214.28814539225058	0.5	117.05833583478986	0.5	697.277586769841	0.4	-553.7283764009065	0.2	-474.89569159597477	0.25	
107	2018-01-05 11:00:00	203.5063519133952	0.5	111.16860824561803	0.5	671.8062593992533	0.4	-531.0420600207474	0.2	-455.43915953751923	0.25	
108	2018-01-05 12:00:00	194.07228261939676	0.5	106.01509660509271	0.5	649.5188479499889	0.65	-511.19153318810794	0.2	-438.4146939863705	0.35	
109	2018-01-05 13:00:00	195.4200068042537	0.5	106.75131255373918	0.5	652.7027638713124	0.65	-514.0273227356279	0.2	-440.8467604936774	0.35	
110	2018-01-05 14:00:00	204.85407609825214	0.5	111.9048241942645	0.5	674.9901753205767	0.65	-533.8778495682672	0.2	-457.8712260448261	0.35	
111	2018-01-05 15:00:00	207.549524467966	0.5	113.37725609155747	0.5	681.3580071632236	0.65	-539.549428663307	0.2	-462.73535905944004	0.35	
112	2018-01-05 16:00:00	206.20180028310907	0.5	112.641040142911	0.5	678.1740912419002	0.65	-536.7136391157871	0.2	-460.3032925521331	0.35	
113	2018-01-05 17:00:00	285.71752718966746	0.5	156.07778111305313	0.5	674.9901753205767	0.65	-601.187384074222	0.2	-515.5980995490754	0.35	
114	2018-01-05 18:00:00	274.9357337108121	0.5	150.1880535238813	0.5	458.4838926705804	0.65	-475.66322934882237	0.2	-407.94445055645144	0.35	
115	2018-01-05 19:00:00	258.763043492529	0.5	141.35346214012358	0.5	420.2769016146987	0.65	-441.63375477858335	0.2	-378.75965246876785	0.35	
116	2018-01-05 20:00:00	249.32897419853057	0.5	136.19995049959826	0.5	397.9894901654344	0.65	-421.783227945944	0.2	-361.7351869176192	0.35	
117	2018-01-05 21:00:00	238.54718071967517	0.5	130.31022291042643	0.5	372.51816279484655	0.65	-399.09691156578464	0.2	-342.27865485916345	0.35	
118	2018-01-05 22:00:00	226.4176630559629	0.5	123.68427937260816	0.5	343.8629195029353	0.65	-373.5748056381055	0.2	-320.39005629340096	0.35	
119	2018-01-05 23:00:00	136.12014267054914	0.5	74.3578108132942	0.5	321.57550805367106	0.65	-286.4147442995114	0.2	-245.63871723800295	0.35	
120	2018-01-06 00:00:00	122.64290082197992	0.5	66.99565132682943	0.5	289.7363488404363	0.4	-258.0568488243123	0.2	-221.31805216493336	0.25	
121	2018-01-06 01:00:00	114.55655571283836	0.5	62.578355634950555	0.5	270.6328533124954	0.4	-241.04211153919277	0.2	-206.72565312109157	0.25	
122	2018-01-06 02:00:00	114.55655571283836	0.5	62.578355634950555	0.5	270.6328533124954	0.4	-241.04211153919277	0.2	-206.72565312109157	0.25	
123	2018-01-06 03:00:00	115.9042798976953	0.5	63.314571583597036	0.5	273.8167692338189	0.4	-243.8779010867127	0.2	-209.15771962839855	0.25	
124	2018-01-06 04:00:00	122.64290082197992	0.5	66.99565132682943	0.5	289.7363488404363	0.4	-258.0568488243123	0.2	-221.31805216493336	0.25	
125	2018-01-06 05:00:00	128.0337975614076	0.5	69.94051512141532	0.5	302.4720125257301	0.4	-269.4000070143919	0.2	-231.04631819416116	0.25	
126	2018-01-06 06:00:00	211.59269702253673	0.5	115.5859039374969	0.5	308.83984436837704	0.4	-342.3811206153864	0.2	-293.6373247130243	0.25	
127	2018-01-06 07:00:00	215.6358695771075	0.5	117.79455178343633	0.5	318.3915921323475	0.4	-350.8884892579461	0.2	-300.9335242349452	0.25	
128	2018-01-06 08:00:00	218.33131794682134	0.5	119.26698368072928	0.5	324.75942397499443	0.4	-356.560068352986	0.2	-305.79765724955917	0.25	
129	2018-01-06 09:00:00	215.6358695771075	0.5	117.79455178343633	0.5	318.3915921323475	0.4	-350.8884892579461	0.2	-300.9335242349452	0.25	
130	2018-01-06 10:00:00	207.54952446796597	0.5	113.37725609155746	0.5	299.28809660440663	0.4	-333.8737519728266	0.2	-286.34112519110346	0.25	
131	2018-01-06 11:00:00	202.1586277285383	0.5	110.43239229697156	0.5	286.5524329191128	0.4	-322.53059378274696	0.2	-276.61285916187563	0.25	
132	2018-01-06 12:00:00	199.46317935882445	0.5	108.95996039967861	0.5	280.1846010764658	0.65	-316.85901468770714	0.2	-271.7487261472617	0.35	
133	2018-01-06 13:00:00	194.07228261939673	0.5	106.0150966050927	0.5	267.44893739117185	0.65	-305.51585649762745	0.2	-262.02046011803384	0.35	
134	2018-01-06 14:00:00	191.3768342496829	0.5	104.54266470779974	0.5	261.08110554852493	0.65	-299.8442774025876	0.2	-257.1563271034199	0.35	
135	2018-01-06 15:00:00	192.72455843453986	0.5	105.27888065644623	0.5	264.2650214698485	0.65	-302.68006695010763	0.2	-259.58839361072694	0.35	
136	2018-01-06 16:00:00	195.4200068042537	0.5	106.75131255373918	0.5	270.6328533124954	0.65	-308.35164604514745	0.2	-264.45252662534085	0.35	
137	2018-01-06 17:00:00	198.11545517396752	0.5	108.22374445103213	0.5	277.0006851551423	0.65	-314.02322514018726	0.2	-269.31665963995476	0.35	
138	2018-01-06 18:00:00	198.11545517396752	0.5	108.22374445103213	0.5	277.0006851551423	0.65	-314.02322514018726	0.2	-269.31665963995476	0.35	
139	2018-01-06 19:00:00	199.46317935882445	0.5	108.95996039967861	0.5	280.1846010764658	0.65	-316.85901468770714	0.2	-271.7487261472617	0.35	
140	2018-01-06 20:00:00	203.50635191339524	0.5	111.16860824561805	0.5	289.7363488404363	0.65	-325.36638333026696	0.2	-279.04492566918265	0.35	
141	2018-01-06 21:00:00	204.85407609825214	0.5	111.9048241942645	0.5	292.9202647617597	0.65	-328.20217287778684	0.2	-281.4769921764896	0.35	
142	2018-01-06 22:00:00	204.85407609825214	0.5	111.9048241942645	0.5	292.9202647617597	0.65	-328.20217287778684	0.2	-281.4769921764896	0.35	
143	2018-01-06 23:00:00	123.99062500683681	0.5	67.73186727547589	0.5	292.9202647617597	0.65	-260.89263837183216	0.2	-223.75011867224026	0.35	
144	2018-01-07 00:00:00	121.29517663712298	0.5	66.25943537818294	0.5	286.5524329191128	0.4	-255.22105927679232	0.2	-218.88598565762635	0.25	
145	2018-01-07 01:00:00	114.55655571283836	0.5	62.578355634950555	0.5	270.6328533124954	0.4	-241.04211153919277	0.2	-206.72565312109157	0.25	
146	2018-01-07 02:00:00	105.12248641883993	0.5	57.42484399442522	0.5	248.3454418632311	0.4	-221.19158470655336	0.2	-189.70118756994285	0.25	
147	2018-01-07 03:00:00	102.42703804912608	0.5	55.95241209713227	0.5	241.97761002058417	0.4	-215.52000561151357	0.2	-184.83705455532896	0.25	
148	2018-01-07 04:00:00	109.1656589734107	0.5	59.633491840364655	0.5	257.89718962720156	0.4	-229.69895334911314	0.2	-196.99738709186377	0.25	
149	2018-01-07 05:00:00	125.33834919169375	0.5	68.46808322412237	0.5	296.1041806830832	0.4	-263.7284279193521	0.2	-226.18218517954725	0.25	
150	2018-01-07 06:00:00	229.11311142567672	0.5	125.15671126990111	0.5	350.23075134558223	0.4	-379.2463847331452	0.2	-325.25418930801476	0.25	
151	2018-01-07 07:00:00	256.0675951228152	0.5	139.88103024283063	0.5	413.9090697720518	0.4	-435.96217568354365	0.2	-373.89551945415405	0.25	
152	2018-01-07 08:00:00	287.0652513745244	0.5	156.8139970616996	0.5	487.1391359624917	0.4	-501.1853352765016	0.2	-429.83304912221405	0.25	
153	2018-01-07 09:00:00	295.1515964836659	0.5	161.23129275357846	0.5	506.24263149043253	0.4	-518.2000725616211	0.2	-444.42544816605584	0.25	
154	2018-01-07 10:00:00	274.9357337108121	0.5	150.1880535238813	0.5	458.4838926705804	0.4	-475.66322934882237	0.2	-407.94445055645144	0.25	
155	2018-01-07 11:00:00	245.2858016439598	0.5	133.99130265365883	0.5	388.43774240146394	0.4	-413.2758593033842	0.2	-354.4389873956983	0.25	
156	2018-01-07 12:00:00	225.06993887110596	0.5	122.94806342396167	0.5	340.6790035816118	0.65	-370.7390160905855	0.2	-317.9579897860939	0.35	
157	2018-01-07 13:00:00	211.59269702253673	0.5	115.5859039374969	0.5	308.83984436837704	0.65	-342.3811206153864	0.2	-293.6373247130243	0.35	
158	2018-01-07 14:00:00	206.20180028310907	0.5	112.641040142911	0.5	296.1041806830832	0.65	-331.0379624253067	0.2	-283.9090586837965	0.35	
159	2018-01-07 15:00:00	207.54952446796597	0.5	113.37725609155746	0.5	299.28809660440663	0.65	-333.8737519728266	0.2	-286.34112519110346	0.35	
160	2018-01-07 16:00:00	214.28814539225058	0.5	117.05833583478984	0.5	315.20767621102397	0.65	-348.0526997104262	0.2	-298.50145772763824	0.35	
161	2018-01-07 17:00:00	258.763043492529	0.5	141.35346214012358	0.5	420.2769016146987	0.65	-441.63375477858335	0.2	-378.75965246876785	0.35	
162	2018-01-07 18:00:00	311.324286701949	0.5	170.0658841373362	0.5	544.4496225463143	0.65	-552.2295471318602	0.2	-473.6102462537394	0.35	
163	2018-01-07 19:00:00	349.06056387794274	0.5	190.67993069943756	0.5	633.5992683433715	0.65	-631.6316544624176	0.2	-541.7081084583342	0.35	
164	2018-01-07 20:00:00	370.62415083565355	0.5	202.4593858777812	0.5	684.5419230845472	0.65	-677.0042872227364	0.2	-580.6211725752456	0.35	
165	2018-01-07 21:00:00	377.36277175993814	0.5	206.1404656210136	0.5	700.4615026911645	0.65	-691.1832349603358	0.2	-592.7815051117803	0.35	
166	2018-01-07 22:00:00	397.57863453279197	0.5	217.18370485071074	0.5	748.2202415110166	0.65	-733.7200781731347	0.2	-629.2625027213847	0.35	
167	2018-01-07 23:00:00	339.62649458394435	0.5	185.5264190589122	0.5	802.3468121735157	0.65	-714.6189659750185	0.2	-612.8807598413537	0.35	
168	2018-01-08 00:00:00	357.1469089870843	0.5	195.09722639131644	0.5	843.7377191507209	0.4	-751.4842300927775	0.2	-644.4976244363443	0.25	
169	2018-01-08 01:00:00	354.45146061737046	0.5	193.6247944940235	0.5	837.369887308074	0.4	-745.8126509977376	0.2	-639.6334914217304	0.25	
170	2018-01-08 02:00:00	359.8423573567982	0.5	196.5696582886094	0.5	850.1055509933678	0.4	-757.1558091878172	0.2	-649.3617574509582	0.25	
171	2018-01-08 03:00:00	370.62415083565355	0.5	202.4593858777812	0.5	875.5768783639556	0.4	-779.8421255679766	0.2	-668.818289509414	0.25	
172	2018-01-08 04:00:00	362.537805726512	0.5	198.0420901859023	0.5	856.4733828360147	0.4	-762.827388282857	0.2	-654.225890465572	0.25	
173	2018-01-08 05:00:00	358.49463317194125	0.5	195.83344233996291	0.5	846.9216350720444	0.4	-754.3200196402973	0.2	-646.9296909436513	0.25	
174	2018-01-08 06:00:00	431.271739154215	0.5	235.58910356687267	0.5	827.8181395441036	0.4	-804.6148168611326	0.2	-690.0641654040588	0.25	
175	2018-01-08 07:00:00	421.8376698602166	0.5	230.43559192634734	0.5	805.5307280948392	0.4	-784.7642900284931	0.2	-673.03969985291	0.25	
176	2018-01-08 08:00:00	412.40360056621813	0.5	225.282080285822	0.5	974.2782719249834	0.4	-867.751601541094	0.2	-744.2123512359296	0.25	
