simulation_time	physical_time	flexible_loads.LVE.energy	flexible_loads.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
196	2021-01-09 04:00:00	1500	0.2	8536.560500889087	0.2	
197	2021-01-09 05:00:00	1500	0.18	7771.696479439116	0.18	
198	2021-01-09 06:00:00	1500	0.18	8543.468439719116	0.18	
199	2021-01-09 07:00:00	1500	0.18	10138.649627672105	0.18	
200	2021-01-09 08:00:00	1500	0.18	10235.182078205906	0.18	
201	2021-01-09 09:00:00	1500	0.2	7760.008048776179	0.2	
202	2021-01-09 10:00:00	1500	0.2	6646.025691997627	0.2	
203	2021-01-09 11:00:00	1500	0.2	5525.944035721456	0.2	
204	2021-01-09 12:00:00	1500	0.2	4958.620422481837	0.2	
205	2021-01-09 13:00:00	1500	0.2	6782.513266832099	0.2	
206	2021-01-09 14:00:00	1500	0.2	7889.940795613772	0.2	
207	2021-01-09 15:00:00	1500	0.2	8862.171139511787	0.2	
208	2021-01-09 16:00:00	1500	0.2	11278.024461917938	0.2	
209	2021-01-09 17:00:00	1500	0.18	12309.369154192478	0.18	
210	2021-01-09 18:00:00	1500	0.18	13559.65468740184	0.18	
211	2021-01-09 19:00:00	1500	0.18	16157.421654725444	0.18	
212	2021-01-09 20:00:00	1500	0.18	18064.41830062795	0.18	
213	2021-01-09 21:00:00	1500	0.2	17796.243430068283	0.2	
214	2021-01-09 22:00:00	1500	0.2	16385.74970442428	0.2	
215	2021-01-09 23:00:00	1500	0.2	14341.70942343181	0.2	
216	2021-01-10 00:00:00	1500	0.2	11293.277808775532	0.2	
217	2021-01-10 01:00:00	1500	0.2	10851.189338042499	0.2	
218	2021-01-10 02:00:00	1500	0.2	10200.902573681615	0.2	
219	2021-01-10 03:00:00	1500	0.2	9341.709154409886	0.2	
220	2021-01-10 04:00:00	1500	0.2	8536.560500889087	0.2	
221	2021-01-10 05:00:00	1500	0.18	7771.696479439116	0.18	
222	2021-01-10 06:00:00	1500	0.18	8543.468439719116	0.18	
223	2021-01-10 07:00:00	1500	0.18	10138.649627672105	0.18	
224	2021-01-10 08:00:00	1500	0.18	10235.182078205906	0.18	
225	2021-01-10 09:00:00	1500	0.2	7760.008048776179	0.2	
226	2021-01-10 10:00:00	1500	0.2	6646.025691997627	0.2	
227	2021-01-10 11:00:00	1500	0.2	5525.944035721456	0.2	
228	2021-01-10 12:00:00	1500	0.2	4958.620422481837	0.2	
229	2021-01-10 13:00:00	1500	0.2	6782.513266832099	0.2	
230	2021-01-10 14:00:00	1500	0.2	7889.940795613772	0.2	
231	2021-01-10 15:00:00	1500	0.2	8862.171139511787	0.2	
232	2021-01-10 16:00:00	1500	0.2	11278.024461917938	0.2	
233	2021-01-10 17:00:00	1500	0.18	12309.369154192478	0.18	
234	2021-01-10 18:00:00	1500	0.18	13559.65468740184	0.18	
