simulation_time	physical_time	mean_LVE.energy_mismatch	min_LVE.energy_mismatch	max_LVE.energy_mismatch	sum_LVE.energy_mismatch	mean_LTH.energy_mismatch	min_LTH.energy_mismatch	max_LTH.energy_mismatch	sum_LTH.energy_mismatch	
480	2019-03-21 00:00:00	39024.046505802704	-3319.7873131085507	74438.95615841603	936577.1161392647	1416.6666666666479	-4.547473508864641e-13	2000.0000000000075	33999.99999999954	
504	2019-03-22 00:00:00	39496.673342804555	-3065.7380852968417	74781.05924740461	947920.1602273093	1416.6666666666458	-4.547473508864641e-13	2000.000000000008	33999.999999999505	
528	2019-03-23 00:00:00	39114.18366696041	-3088.0396011050216	74449.84016626395	938740.4080070499	1416.6666666666465	-4.547473508864641e-13	2000.000000000008	33999.999999999505	
552	2019-03-24 00:00:00	38722.265349748486	-3287.155607747074	72874.62949416447	929334.3683939639	1416.6666666666454	-4.547473508864641e-13	2000.000000000008	33999.99999999948	
576	2019-03-25 00:00:00	39724.68350495475	-1064.2906036686509	75329.53938939348	953392.4041189144	1416.6666666666395	-4.547473508864641e-13	2000.0000000000077	33999.999999999345	
600	2019-03-26 00:00:00	44659.28524629367	11843.629019575445	75620.0747594023	1071822.845911048	1416.666666666655	-4.547473508864641e-13	2000.0000000000218	33999.99999999972	
624	2019-03-27 00:00:00	44491.501488662325	10780.723789854983	76687.71861667026	1067796.0357278956	1416.6666666666592	-4.547473508864641e-13	2000.0000000000075	33999.99999999981	
648	2019-03-28 00:00:00	38908.87055777029	-3287.6489221752345	72874.62949416447	933812.8933864872	1416.6666666666458	-4.547473508864641e-13	2000.0000000000075	33999.9999999995	
672	2019-03-29 00:00:00	39611.991722859195	-3097.9337573001576	76345.75281550808	950687.8013486203	1416.6666666666445	-4.547473508864641e-13	2000.0000000000077	33999.99999999945	
696	2019-03-30 00:00:00	38998.89144353617	-3055.9012101716908	72885.51350201233	935973.3946448681	1416.666666666647	-4.547473508864641e-13	2000.000000000021	33999.99999999952	
720	2019-03-31 00:00:00	38837.44354780742	-3319.293998680394	74438.95615841603	932098.6451473782	1416.666666666647	-4.547473508864641e-13	2000.000000000008	33999.99999999952	
