simulation_time	physical_time	Enedis.energy_sold_inside	Enedis.energy_sold_outside	Enedis.energy_bought_inside	Enedis.energy_bought_outside	Enedis.energy_erased_consumption	Enedis.energy_erased_production	Enedis.money_spent_inside	Enedis.money_spent_outside	Enedis.money_earned_inside	Enedis.money_earned_outside	general_aggregator.energy_sold_inside	general_aggregator.energy_sold_outside	general_aggregator.energy_bought_inside	general_aggregator.energy_bought_outside	general_aggregator.energy_erased_consumption	general_aggregator.energy_erased_production	general_aggregator.money_spent_inside	general_aggregator.money_spent_outside	general_aggregator.money_earned_inside	general_aggregator.money_earned_outside	Local_DHN.energy_sold_inside	Local_DHN.energy_sold_outside	Local_DHN.energy_bought_inside	Local_DHN.energy_bought_outside	Local_DHN.energy_erased_consumption	Local_DHN.energy_erased_production	Local_DHN.money_spent_inside	Local_DHN.money_spent_outside	Local_DHN.money_earned_inside	Local_DHN.money_earned_outside	gas_aggregator.energy_sold_inside	gas_aggregator.energy_sold_outside	gas_aggregator.energy_bought_inside	gas_aggregator.energy_bought_outside	gas_aggregator.energy_erased_consumption	gas_aggregator.energy_erased_production	gas_aggregator.money_spent_inside	gas_aggregator.money_spent_outside	gas_aggregator.money_earned_inside	gas_aggregator.money_earned_outside	
29	2019-01-02 05:00:00	0	0	3147.7574937221943	0	0	0.0	314.7757493722195	0	0	0	118.48975182400588	3147.7574937221943	3266.2472455462002	0	-2.2737367544323206e-13	0.0	321.37131159536005	0	11.775442537475952	314.7757493722195	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
30	2019-01-02 06:00:00	0	0	3143.6484168441593	0	0	0.0	314.364841684416	0	0	0	110.24972766049073	3143.6484168441593	3253.89814450465	0	5.115907697472721e-13	0.0	320.2957858673611	0	10.96082378884118	314.364841684416	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
31	2019-01-02 07:00:00	0	0	3130.345446758398	0	0	0.0	313.0345446758398	0	0	0	115.42756905145251	3130.345446758398	3245.7730158098498	0	-3.126388037344441e-13	0.0	322.72598428019995	0	11.530595749326453	313.0345446758398	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
32	2019-01-02 08:00:00	0	0	3153.9384871268853	0	0	0.0	315.39384871268857	0	0	0	88.79158964396196	3153.9384871268853	3242.730076770847	0	-5.542233338928781e-13	0.0	331.7520636998771	0	8.967763243071095	315.39384871268857	0	3100.0	3100	0	0	0	310.0	0	0	310.0	0	0	0	0	0	1000	0	0	0.0	0	
33	2019-01-02 09:00:00	0	0	3179.3714713701634	0	0	0.0	317.9371471370164	0	0	0	67.99226714911903	3179.3714713701634	3247.3637385192824	0	-2.7000623958883807e-13	4.547473508864641e-13	329.2762702078051	0	7.063276754613341	317.9371471370164	0.9988874897678325	3099.001112510232	3099.9999999999995	0	0.0	4.547473508864641e-13	309.99999999999994	0	0.14983312346517486	309.9001112510232	0	0	0	0	0	1000	0	0	0.0	0	
34	2019-01-02 10:00:00	0	0	3188.4222012419195	0	0	0.0	318.84222012419195	0	0	0	68.31522342325678	3188.4222012419195	3256.737424665176	0	-3.410605131648481e-13	9.094947017729282e-13	330.8771842317331	0	6.856016483529806	318.84222012419195	0	3100.0072510141035	3100.0072510141035	0	0	9.094947017729282e-13	310.00072510141035	0	0	310.00072510141035	0	0	0	0	0	1000	0	0	0.0	0	
35	2019-01-02 11:00:00	0	0	3145.9951891720957	0	0	0.0	314.5995189172096	0	0	0	120.50591191649717	3145.9951891720957	3266.501101088593	0	2.1316282072803006e-13	0.0	330.99503549716275	0	13.548342004583994	314.5995189172096	0	3100.0288639888427	3100.0288639888427	0	0	0.0	310.00288639888424	0	0	310.0028863988843	0	0	0	0	0	1000	0	0	0.0	0	
36	2019-01-02 12:00:00	0	0	3210.044310974064	0	0	0.0	321.00443109740644	0	0	0	52.11625728073503	3210.044310974064	3262.1605682547993	0	-2.4868995751603507e-13	0.0	333.39353651075675	0	10.298617436264172	321.00443109740644	0.672687087550235	3099.4059268653023	3100.0786139528527	0	0.0	0.0	310.00786139528526	0	0.10090306313253525	309.94059268653024	0	0	0	0	0	1000	0	0	0.0	0	
37	2019-01-02 13:00:00	0	0	3184.5914608730036	0	0	0.0	318.4591460873004	0	0	0	67.29785166804687	3184.5914608730036	3251.8893125410505	0	-3.836930773104541e-13	0.0	332.08916178438045	0	13.421971112177395	318.4591460873004	0.09814407294660815	3099.9018559270535	3100	0	0.0	0	310.0	0	0.014721610941991222	309.99018559270536	0	0	0	0	0	1000	0	0	0.0	0	
38	2019-01-02 14:00:00	0	0	3199.637687622965	0	0	0.0	319.9637687622965	0	0	0	71.21617864983124	3199.637687622965	3270.853866272796	0	-7.105427357601002e-14	0.0	330.7461217356207	0	14.215231644627377	319.9637687622965	0.2149267968718195	3099.7914780325605	3100.006404829432	0	0.0	0.0	310.0006404829432	0	0.032239019530772926	309.97914780325607	0	0	0	0	0	1000	0	0	0.0	0	
39	2019-01-02 15:00:00	0	0	3142.0055850238405	0	0	0.0	314.20055850238407	0	0	0	93.27546574267201	3142.0055850238405	3235.2810507665126	0	-1.4210854715202004e-14	0.0	326.6981486074957	0	18.631542733214275	314.20055850238407	0.19089499606701932	3099.809105003933	3100	0	0.0	0	310.0	0	0.028634249410052895	309.9809105003933	0	0	0	0	0	1000	0	0	0.0	0	
40	2019-01-02 16:00:00	0	0	3044.737275503288	0	0	0.0	304.4737275503288	0	0	0	179.29312197828224	3044.737275503288	3224.03039748157	0	2.2737367544323206e-13	0.0	324.46529298473547	0	35.66090418556332	304.4737275503288	0.20172520388008489	3099.79827479612	3100	0	0.0	0	310.0	0	0.030258780582012732	309.979827479612	0	0	0	0	0	1000	0	0	0.0	0	
41	2019-01-02 17:00:00	0	0	2866.8964299853733	0	0	0.0	286.68964299853735	0	0	0	348.1853366565959	2866.8964299853733	3215.081766641969	0	-1.2505552149377763e-12	0.0	323.87163903944753	0	69.41845261449625	286.68964299853735	0.20908093123065347	3099.790919068769	3100	0	0.0	0	310.0	0	0.03136213968459802	309.97909190687693	0	0	0	0	0	1000	0	0	0.0	0	
42	2019-01-02 18:00:00	0	0	2972.667543343209	0	0	0.0	297.2667543343209	0	0	0	253.00358224658615	2972.667543343209	3225.671125589795	0	1.3642420526593924e-12	0.0	332.5123839793177	0	50.57059490442296	297.2667543343209	0.2183860600547296	3099.781613939945	3100	0	0.0	0	310.0	0	0.03275790900820944	309.9781613939945	0	0	0	0	0	1000	0	0	0.0	0	
43	2019-01-02 19:00:00	0	0	2961.9063891904834	0	0	0.0	296.19063891904835	0	0	0	264.7224575139641	2961.9063891904834	3226.6288467044474	0	1.7053025658242404e-13	0.0	337.9108636418503	0	52.96103495672968	296.19063891904835	0.22621961340227792	3099.7737803865975	3100	0	0.0	0	310.0	0	0.033932942010341687	309.97737803865977	0	0	0	0	0	1000	0	0	0.0	0	
44	2019-01-02 20:00:00	0	0	2981.189572149867	0	0	0.0	298.1189572149867	0	0	0	245.04806556792943	2981.189572149867	3226.2376377177966	0	9.094947017729282e-13	0.0	337.48797453658176	0	49.02308456745241	298.1189572149867	2.2343654352033395	3097.7656345647965	3100	0	0.0	0	310.0	0	0.33515481528050095	309.77656345647966	0	0	0	0	0	1000	0	0	0.0	0	
45	2019-01-02 21:00:00	0	0	3010.3602097300736	0	0	0.0	301.0360209730074	0	0	0	234.52728365510933	3010.3602097300736	3244.887493385183	0	-1.2505552149377763e-12	0.0	339.8029165108574	0	46.909799966784334	301.0360209730074	0.27048929101682784	3099.729510708983	3100	0	0.0	0	310.0	0	0.04057339365252418	309.9729510708983	0	0	0	0	0	1000	0	0	0.0	0	
46	2019-01-02 22:00:00	0	0	3029.078703508646	0	0	0.0	302.9078703508646	0	0	0	232.88947240558986	3029.078703508646	3261.9681759142354	0	-7.958078640513122e-13	0.0	346.97703492237713	0	46.61138969330905	302.9078703508646	0.25053861311408576	3099.7494613868857	3100	0	0.0	0	310.0	0	0.037580791967112864	309.9749461386886	0	0	0	0	0	1000	0	0	0.0	0	
47	2019-01-02 23:00:00	0	0	3071.9462514687916	0	0	0.0	307.19462514687916	0	0	0	208.02240307735593	3071.9462514687916	3279.9686545461477	0	3.410605131648481e-13	0.0	346.8666620679513	0	41.614077431659275	307.19462514687916	0.25862924885232397	3099.7413707511478	3100	0	0.0	0	310.0	0	0.038794387327848595	309.9741370751148	0	0	0	0	0	1000	0	0	0.0	0	
