DHN_manager.money_earned	DHN_manager.money_spent	old_house.LTH.energy_bought	old_house.LTH.energy_sold	new_house.LTH.energy_bought	new_house.LTH.energy_sold	office.LTH.energy_bought	office.LTH.energy_sold	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	incinerator.LTH.energy_sold	fast_gas_boiler.LTH.energy_sold	district_heating_grid.energy_sold	district_heating_grid.energy_bought	
299.1050795003761	299.1050795003761	206.20180028310907	0	112.641040142911	0	678.1740912419002	0	1994.0338633358406	1994.0338633358406	997.0169316679203	0	{'inside': 997.0169316679203, 'outside': 0}	{'inside': 997.0169316679203, 'outside': 0}	
291.2032954181358	291.2032954181358	199.46317935882445	0	108.95996039967861	0	662.2545116352828	0	1941.3553027875719	1941.3553027875719	970.6776513937859	0	{'inside': 970.6776513937859, 'outside': 0}	{'inside': 970.6776513937859, 'outside': 0}	
289.6229386016877	289.6229386016877	198.11545517396752	0	108.22374445103213	0	659.0705957139593	0	1930.8195906779179	1930.8195906779179	965.4097953389589	0	{'inside': 965.4097953389589, 'outside': 0}	{'inside': 965.4097953389589, 'outside': 0}	
307.0068635826164	307.0068635826164	212.94042120739368	0	116.32211988614338	0	694.0936708485176	0	2046.7124238841093	2046.7124238841093	1023.3562119420546	0	{'inside': 1023.3562119420546, 'outside': 0}	{'inside': 1023.3562119420546, 'outside': 0}	
396.3989891459746	396.3989891459746	324.8015285505182	0	177.428043623801	0	767.3237370389576	0	2539.1066184265537	2539.1066184265537	1166.0	103.55330921327686	{'inside': 1269.5533092132769, 'outside': 0}	{'inside': 1269.5533092132769, 'outside': 0}	
369.6966398870431	369.6966398870431	358.49463317194125	0	195.83344233996291	0	655.886679792636	0	2420.4295106090804	2420.4295106090804	1166.0	44.214755304540176	{'inside': 1210.2147553045402, 'outside': 0}	{'inside': 1210.2147553045402, 'outside': 0}	
428.9600205038454	428.9600205038454	392.1877377933643	0	214.23884105612484	0	735.4845778257228	0	2683.822313350424	2683.822313350424	1166.0	175.91115667521194	{'inside': 1341.911156675212, 'outside': 0}	{'inside': 1341.911156675212, 'outside': 0}	
466.8885840985988	466.8885840985988	413.751324751075	0	226.01829623446847	0	786.4272325668983	0	2852.3937071048836	2852.3937071048836	1166.0	260.1968535524418	{'inside': 1426.1968535524418, 'outside': 0}	{'inside': 1426.1968535524418, 'outside': 0}	
511.9287533673686	511.9287533673686	439.3580842633566	0	240.00639925875154	0	846.9216350720444	0	3052.572237188305	3052.572237188305	1166.0	360.2861185941524	{'inside': 1526.2861185941524, 'outside': 0}	{'inside': 1526.2861185941524, 'outside': 0}	
559.3394578608106	559.3394578608106	466.312567960495	0	254.73071823168107	0	910.599953498514	0	3263.28647938138	3263.28647938138	1166.0	465.64323969069005	{'inside': 1631.64323969069, 'outside': 0}	{'inside': 1631.64323969069, 'outside': 0}	
