simulation_time	physical_time	Enedis.curtailment_rate_consumption	Enedis.curtailment_rate_production	general_aggregator.curtailment_rate_consumption	general_aggregator.curtailment_rate_production	Local_DHN.curtailment_rate_consumption	Local_DHN.curtailment_rate_production	gas_aggregator.curtailment_rate_consumption	gas_aggregator.curtailment_rate_production	
96	2019-01-05 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
97	2019-01-05 01:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
98	2019-01-05 02:00:00	None	0.0	1.173894910634577e-16	0.0	0.0	0.0	None	0.0	
99	2019-01-05 03:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
100	2019-01-05 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
101	2019-01-05 05:00:00	None	0.0	0.0	0.0	None	0.0	None	0.4	
102	2019-01-05 06:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
103	2019-01-05 07:00:00	None	0.0	1.1285495170681655e-16	0.0	None	0.0	None	1.0	
104	2019-01-05 08:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
105	2019-01-05 09:00:00	None	0.0	2.0162311856711677e-16	1.3270000818708887e-16	0.0	1.4669246695031526e-16	None	1.0	
106	2019-01-05 10:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
107	2019-01-05 11:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
108	2019-01-05 12:00:00	None	0.0	1.5483246882840646e-16	0.0	None	1.4664103246356805e-16	None	1.0	
109	2019-01-05 13:00:00	None	0.0	0.0	1.324321495835773e-16	None	1.466372338918857e-16	None	1.0	
110	2019-01-05 14:00:00	None	0.0	1.9034824669356983e-16	0.0	None	0.0	None	1.0	
111	2019-01-05 15:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
112	2019-01-05 16:00:00	None	0.0	2.1245796788476856e-16	0.0	0.0	0.0	None	1.0	
113	2019-01-05 17:00:00	None	0.0	2.1091029637608958e-16	0.0	0.0	0.0	None	1.0	
114	2019-01-05 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
115	2019-01-05 19:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
116	2019-01-05 20:00:00	None	0.0	2.858112351461195e-16	0.0	0.0	0.0	None	1.0	
117	2019-01-05 21:00:00	None	0.0	1.607024294956106e-16	0.0	0.0	0.0	None	1.0	
118	2019-01-05 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
119	2019-01-05 23:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
120	2019-01-06 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
121	2019-01-06 01:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
122	2019-01-06 02:00:00	None	0.0	1.2394199796513525e-16	0.0	0.0	0.0	None	0.0	
123	2019-01-06 03:00:00	None	0.0	0.0	5.233573609097626e-17	0.0	0.0	None	0.0	
124	2019-01-06 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
125	2019-01-06 05:00:00	None	0.0	0.0	0.0	None	0.0	None	0.4	
126	2019-01-06 06:00:00	None	0.0	1.6052180664415937e-16	0.0	None	0.0	None	1.0	
127	2019-01-06 07:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
128	2019-01-06 08:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
129	2019-01-06 09:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
130	2019-01-06 10:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
131	2019-01-06 11:00:00	None	0.0	0.0	1.316728500916035e-16	None	1.4666363661992837e-16	None	1.0	
132	2019-01-06 12:00:00	None	0.0	1.323924562275767e-16	1.3113642767594929e-16	None	1.466355577855754e-16	None	1.0	
133	2019-01-06 13:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
134	2019-01-06 14:00:00	None	0.0	1.9034824669356983e-16	0.0	None	0.0	None	1.0	
135	2019-01-06 15:00:00	None	0.0	0.0	1.2829744026949767e-16	None	1.4665356841128512e-16	None	1.0	
136	2019-01-06 16:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
137	2019-01-06 17:00:00	None	0.0	2.1091029637608958e-16	1.2669471639534617e-16	0.0	1.4669269383434326e-16	None	1.0	
138	2019-01-06 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
139	2019-01-06 19:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
140	2019-01-06 20:00:00	None	0.0	2.858112351461195e-16	0.0	0.0	0.0	None	1.0	
141	2019-01-06 21:00:00	None	0.0	1.607024294956106e-16	0.0	0.0	0.0	None	1.0	
142	2019-01-06 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
143	2019-01-06 23:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
144	2019-01-07 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
145	2019-01-07 01:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
146	2019-01-07 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
147	2019-01-07 03:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
148	2019-01-07 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
149	2019-01-07 05:00:00	None	0.0	0.0	0.0	None	0.0	None	0.4	
150	2019-01-07 06:00:00	None	0.0	1.553315836921781e-16	0.0	None	0.0	None	1.0	
151	2019-01-07 07:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
152	2019-01-07 08:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
153	2019-01-07 09:00:00	None	0.0	2.043012247915307e-16	0.0	0.0	0.0	None	1.0	
154	2019-01-07 10:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
155	2019-01-07 11:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
156	2019-01-07 12:00:00	None	0.0	0.0	1.334672870013975e-16	None	1.4663568794628971e-16	None	1.0	
157	2019-01-07 13:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
158	2019-01-07 14:00:00	None	0.0	1.155901051266732e-16	0.0	None	0.0	None	1.0	
159	2019-01-07 15:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
160	2019-01-07 16:00:00	None	0.0	3.5038904810467553e-16	0.0	0.0	0.0	None	1.0	
161	2019-01-07 17:00:00	None	0.0	1.7653317454594123e-16	0.0	0.0	0.0	None	1.0	
162	2019-01-07 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
163	2019-01-07 19:00:00	None	0.0	1.1431420864293226e-16	0.0	0.0	0.0	None	1.0	
164	2019-01-07 20:00:00	None	0.0	1.268016913209281e-16	0.0	0.0	0.0	None	1.0	
165	2019-01-07 21:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
166	2019-01-07 22:00:00	None	0.0	1.1931836510647695e-16	1.337778724869917e-16	0.0	1.4669269383434326e-16	None	1.0	
167	2019-01-07 23:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
