simulation_time	physical_time	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	DHN_manager.LTH.energy_erased	DHN_manager.LTH.energy_imbalance	DHN_manager.money_spent	DHN_manager.money_earned	
2888	2018-05-01 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2889	2018-05-01 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2890	2018-05-01 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2891	2018-05-01 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2892	2018-05-01 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2893	2018-05-01 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2894	2018-05-01 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2895	2018-05-01 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2896	2018-05-01 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2897	2018-05-01 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2898	2018-05-01 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2899	2018-05-01 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2900	2018-05-01 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2901	2018-05-01 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2902	2018-05-01 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2903	2018-05-01 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2904	2018-05-02 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2905	2018-05-02 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2906	2018-05-02 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2907	2018-05-02 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2908	2018-05-02 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2909	2018-05-02 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2910	2018-05-02 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2911	2018-05-02 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2912	2018-05-02 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2913	2018-05-02 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2914	2018-05-02 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2915	2018-05-02 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2916	2018-05-02 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2917	2018-05-02 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2918	2018-05-02 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2919	2018-05-02 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2920	2018-05-02 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2921	2018-05-02 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2922	2018-05-02 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2923	2018-05-02 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2924	2018-05-02 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2925	2018-05-02 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2926	2018-05-02 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2927	2018-05-02 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2928	2018-05-03 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2929	2018-05-03 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2930	2018-05-03 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2931	2018-05-03 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2932	2018-05-03 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2933	2018-05-03 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2934	2018-05-03 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2935	2018-05-03 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2936	2018-05-03 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2937	2018-05-03 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2938	2018-05-03 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2939	2018-05-03 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2940	2018-05-03 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2941	2018-05-03 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2942	2018-05-03 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2943	2018-05-03 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2944	2018-05-03 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2945	2018-05-03 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
