simulation_time	physical_time	LTH.energy_consumed	LTH.energy_produced	LTH.energy_erased	LTH.money_spent	LTH.money_earned	
2350	2018-04-08 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2351	2018-04-08 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2352	2018-04-09 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2353	2018-04-09 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2354	2018-04-09 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2355	2018-04-09 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2356	2018-04-09 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2357	2018-04-09 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2358	2018-04-09 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2359	2018-04-09 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2360	2018-04-09 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2361	2018-04-09 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2362	2018-04-09 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2363	2018-04-09 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2364	2018-04-09 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2365	2018-04-09 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2366	2018-04-09 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2367	2018-04-09 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2368	2018-04-09 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2369	2018-04-09 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2370	2018-04-09 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2371	2018-04-09 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2372	2018-04-09 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2373	2018-04-09 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2374	2018-04-09 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2375	2018-04-09 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2376	2018-04-10 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2377	2018-04-10 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2378	2018-04-10 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2379	2018-04-10 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2380	2018-04-10 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2381	2018-04-10 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2382	2018-04-10 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2383	2018-04-10 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2384	2018-04-10 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2385	2018-04-10 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2386	2018-04-10 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2387	2018-04-10 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2388	2018-04-10 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2389	2018-04-10 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2390	2018-04-10 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2391	2018-04-10 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2392	2018-04-10 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2393	2018-04-10 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2394	2018-04-10 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
