simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	
159	2021-01-07 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-101.13746914818842	0.06	
160	2021-01-07 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-53.44639342802906	0.06	
161	2021-01-07 17:00:00	0	0	0	0	-24.928512807912995	0.04	
162	2021-01-07 18:00:00	0	0	0	0	-116.29430212444232	0.04	
163	2021-01-07 19:00:00	0	0	0	0	-356.42276925208165	0.04	
164	2021-01-07 20:00:00	0	0	0	0	-876.6544451270698	0.04	
165	2021-01-07 21:00:00	0	0	0	0	-1395.6525978847262	0.06	
166	2021-01-07 22:00:00	0	0	0	0	-2155.3998675648627	0.06	
167	2021-01-07 23:00:00	0	0	0	0	-3204.192807913093	0.06	
168	2021-01-08 00:00:00	0	0	0	0	-6000	0.06	
169	2021-01-08 01:00:00	0	0	0	0	-6000	0.06	
170	2021-01-08 02:00:00	0	0	0	0	-6000	0.06	
171	2021-01-08 03:00:00	0	0	0	0	-6000	0.06	
172	2021-01-08 04:00:00	0	0	0	0	-6000	0.06	
173	2021-01-08 05:00:00	0	0	0	0	-4588.026620739228	0.04	
174	2021-01-08 06:00:00	0	0	0	0	-3526.576205518186	0.04	
175	2021-01-08 07:00:00	0	0	0	0	-2674.6684196126957	0.04	
176	2021-01-08 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-1999.5355147105856	0.04	
177	2021-01-08 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-2262.0448862100016	0.06	
178	2021-01-08 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-2551.025788117637	0.06	
179	2021-01-08 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-2869.5288881550996	0.06	
180	2021-01-08 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-1136.721221690745	0.06	
181	2021-01-08 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-366.6245489661997	0.06	
182	2021-01-08 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-84.25096166624752	0.06	
183	2021-01-08 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-6.020267488029184	0.06	
184	2021-01-08 16:00:00	-523.2032336	0.06	-523.2032336	0.06	0	0	
185	2021-01-08 17:00:00	0	0	0	0	0	0	
186	2021-01-08 18:00:00	0	0	0	0	0	0	
187	2021-01-08 19:00:00	0	0	0	0	0	0	
188	2021-01-08 20:00:00	0	0	0	0	0	0	
189	2021-01-08 21:00:00	0	0	0	0	0	0	
190	2021-01-08 22:00:00	0	0	0	0	0	0	
191	2021-01-08 23:00:00	0	0	0	0	0	0	
192	2021-01-09 00:00:00	0	0	0	0	0	0	
193	2021-01-09 01:00:00	0	0	0	0	0	0	
194	2021-01-09 02:00:00	0	0	0	0	0	0	
195	2021-01-09 03:00:00	0	0	0	0	0	0	
196	2021-01-09 04:00:00	0	0	0	0	0	0	
197	2021-01-09 05:00:00	0	0	0	0	0	0	
198	2021-01-09 06:00:00	0	0	0	0	0	0	
199	2021-01-09 07:00:00	0	0	0	0	0	0	
200	2021-01-09 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	0	0	
201	2021-01-09 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	0	0	
202	2021-01-09 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	0	0	
203	2021-01-09 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	0	0	
204	2021-01-09 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	0	0	
205	2021-01-09 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	0	0	
206	2021-01-09 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	0	0	
207	2021-01-09 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	0	0	
208	2021-01-09 16:00:00	-523.2032336	0.06	-523.2032336	0.06	0	0	
209	2021-01-09 17:00:00	0	0	0	0	0	0	
210	2021-01-09 18:00:00	0	0	0	0	0	0	
211	2021-01-09 19:00:00	0	0	0	0	0	0	
212	2021-01-09 20:00:00	0	0	0	0	0	0	
213	2021-01-09 21:00:00	0	0	0	0	0	0	
214	2021-01-09 22:00:00	0	0	0	0	0	0	
215	2021-01-09 23:00:00	0	0	0	0	0	0	
216	2021-01-10 00:00:00	0	0	0	0	0	0	
217	2021-01-10 01:00:00	0	0	0	0	0	0	
218	2021-01-10 02:00:00	0	0	0	0	0	0	
219	2021-01-10 03:00:00	0	0	0	0	0	0	
220	2021-01-10 04:00:00	0	0	0	0	0	0	
221	2021-01-10 05:00:00	0	0	0	0	0	0	
222	2021-01-10 06:00:00	0	0	0	0	-0.8765249327056344	0.04	
223	2021-01-10 07:00:00	0	0	0	0	-14.03559418616895	0.04	
224	2021-01-10 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-43.09270432186844	0.04	
225	2021-01-10 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-97.66343660881765	0.06	
226	2021-01-10 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-192.32905429308377	0.06	
227	2021-01-10 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-346.3961251538958	0.06	
228	2021-01-10 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-346.1753130654206	0.06	
229	2021-01-10 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-342.63008621181814	0.06	
230	2021-01-10 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-342.43616250379347	0.06	
231	2021-01-10 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-454.5242963421251	0.06	
232	2021-01-10 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-599.9385437147711	0.06	
233	2021-01-10 17:00:00	0	0	0	0	-774.2204014665521	0.04	
234	2021-01-10 18:00:00	0	0	0	0	-948.9249122078995	0.04	
235	2021-01-10 19:00:00	0	0	0	0	-1163.3559156663223	0.04	
236	2021-01-10 20:00:00	0	0	0	0	-1405.2347821886344	0.04	
237	2021-01-10 21:00:00	0	0	0	0	-1086.4795993105486	0.06	
238	2021-01-10 22:00:00	0	0	0	0	-828.7246055451751	0.06	
239	2021-01-10 23:00:00	0	0	0	0	-622.8299163147117	0.06	
240	2021-01-11 00:00:00	0	0	0	0	-696.0624383146705	0.06	
241	2021-01-11 01:00:00	0	0	0	0	-769.7366460683348	0.06	
242	2021-01-11 02:00:00	0	0	0	0	-856.5587237844858	0.06	
243	2021-01-11 03:00:00	0	0	0	0	-522.609559322744	0.06	
244	2021-01-11 04:00:00	0	0	0	0	-302.18366294574747	0.06	
245	2021-01-11 05:00:00	0	0	0	0	-160.8300158118462	0.04	
246	2021-01-11 06:00:00	0	0	0	0	-259.57274588328664	0.04	
247	2021-01-11 07:00:00	0	0	0	0	-400.5663436884557	0.04	
248	2021-01-11 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-601.982535309556	0.04	
249	2021-01-11 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-623.0951076622309	0.06	
250	2021-01-11 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-650.0749985297831	0.06	
251	2021-01-11 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-672.2389353588934	0.06	
252	2021-01-11 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-442.88017651088126	0.06	
253	2021-01-11 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-283.72187202624906	0.06	
254	2021-01-11 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-171.61008013588523	0.06	
255	2021-01-11 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-58.43737442384983	0.06	
256	2021-01-11 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-11.743765460492465	0.06	
257	2021-01-11 17:00:00	0	0	0	0	0	0	
258	2021-01-11 18:00:00	0	0	0	0	0	0	
259	2021-01-11 19:00:00	0	0	0	0	0	0	
260	2021-01-11 20:00:00	0	0	0	0	0	0	
261	2021-01-11 21:00:00	0	0	0	0	0	0	
262	2021-01-11 22:00:00	0	0	0	0	0	0	
263	2021-01-11 23:00:00	0	0	0	0	0	0	
264	2021-01-12 00:00:00	0	0	0	0	0	0	
265	2021-01-12 01:00:00	0	0	0	0	-3.123585793702774	0.06	
266	2021-01-12 02:00:00	0	0	0	0	-31.776017250740885	0.06	
267	2021-01-12 03:00:00	0	0	0	0	-50.437855191334705	0.06	
268	2021-01-12 04:00:00	0	0	0	0	-74.77917272365805	0.06	
269	2021-01-12 05:00:00	0	0	0	0	-108.19743085225035	0.04	
270	2021-01-12 06:00:00	0	0	0	0	-101.56476603287402	0.04	
271	2021-01-12 07:00:00	0	0	0	0	-96.44567085560597	0.04	
272	2021-01-12 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-90.33079832994761	0.04	
273	2021-01-12 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-188.24654237750178	0.06	
274	2021-01-12 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-356.8398409641355	0.06	
275	2021-01-12 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-622.3002102410566	0.06	
276	2021-01-12 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-459.497120224293	0.06	
277	2021-01-12 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-332.7366118620508	0.06	
278	2021-01-12 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-235.45110662828938	0.06	
279	2021-01-12 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-227.97063162553337	0.06	
280	2021-01-12 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-220.8980042128717	0.06	
281	2021-01-12 17:00:00	0	0	0	0	-213.99701705387622	0.04	
282	2021-01-12 18:00:00	0	0	0	0	-269.67667343574055	0.04	
283	2021-01-12 19:00:00	0	0	0	0	-336.23502423598296	0.04	
284	2021-01-12 20:00:00	0	0	0	0	-411.3483859624219	0.04	
285	2021-01-12 21:00:00	0	0	0	0	-343.23751595879287	0.06	
286	2021-01-12 22:00:00	0	0	0	0	-287.1557245039627	0.06	
287	2021-01-12 23:00:00	0	0	0	0	-236.06906073047753	0.06	
288	2021-01-13 00:00:00	0	0	0	0	-270.202745498209	0.06	
289	2021-01-13 01:00:00	0	0	0	0	-305.07680642989504	0.06	
290	2021-01-13 02:00:00	0	0	0	0	-346.7893763108152	0.06	
291	2021-01-13 03:00:00	0	0	0	0	-353.6192195964626	0.06	
292	2021-01-13 04:00:00	0	0	0	0	-360.5941710549422	0.06	
293	2021-01-13 05:00:00	0	0	0	0	-367.6786560691083	0.04	
294	2021-01-13 06:00:00	0	0	0	0	-350.43348163249937	0.04	
295	2021-01-13 07:00:00	0	0	0	0	-336.9749920307502	0.04	
296	2021-01-13 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-320.7619630261188	0.04	
297	2021-01-13 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-419.66066882361866	0.06	
298	2021-01-13 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-536.4628327762679	0.06	
299	2021-01-13 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-683.7629828839089	0.06	
300	2021-01-13 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-575.0246621652467	0.06	
301	2021-01-13 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-480.6931365121293	0.06	
302	2021-01-13 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-399.19188523085046	0.06	
303	2021-01-13 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-298.0419272627173	0.06	
304	2021-01-13 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-216.21727596250042	0.06	
305	2021-01-13 17:00:00	0	0	0	0	-153.09428080952733	0.04	
306	2021-01-13 18:00:00	0	0	0	0	-129.80116398845263	0.04	
307	2021-01-13 19:00:00	0	0	0	0	-109.32627311772852	0.04	
308	2021-01-13 20:00:00	0	0	0	0	-92.59611073020342	0.04	
309	2021-01-13 21:00:00	0	0	0	0	-97.59417978771681	0.06	
310	2021-01-13 22:00:00	0	0	0	0	-102.75010694853106	0.06	
311	2021-01-13 23:00:00	0	0	0	0	-108.10916991251617	0.06	
312	2021-01-14 00:00:00	0	0	0	0	-60.375711662629236	0.06	
313	2021-01-14 01:00:00	0	0	0	0	-30.657241295173222	0.06	
314	2021-01-14 02:00:00	0	0	0	0	-12.399526577745378	0.06	
315	2021-01-14 03:00:00	0	0	0	0	-12.717509404215857	0.06	
316	2021-01-14 04:00:00	0	0	0	0	-13.367229471246558	0.06	
317	2021-01-14 05:00:00	0	0	0	0	-13.700516961107061	0.04	
318	2021-01-14 06:00:00	0	0	0	0	-30.684452248846167	0.04	
319	2021-01-14 07:00:00	0	0	0	0	-58.67176887051017	0.04	
320	2021-01-14 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-101.52511661055787	0.04	
321	2021-01-14 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-198.89662077356388	0.06	
322	2021-01-14 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-356.8398409641355	0.06	
323	2021-01-14 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-601.0865777709814	0.06	
324	2021-01-14 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-590.3235897012551	0.06	
325	2021-01-14 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-584.8566421006948	0.06	
326	2021-01-14 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-574.3737507647247	0.06	
327	2021-01-14 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-230.39945099491516	0.06	
328	2021-01-14 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-73.502537048285	0.06	
329	2021-01-14 17:00:00	0	0	0	0	-13.657371480772595	0.04	
330	2021-01-14 18:00:00	0	0	0	0	-6.472645712746967	0.04	
331	2021-01-14 19:00:00	0	0	0	0	-1.6990303022083457	0.04	
332	2021-01-14 20:00:00	0	0	0	0	0	0	
333	2021-01-14 21:00:00	0	0	0	0	0	0	
334	2021-01-14 22:00:00	0	0	0	0	0	0	
335	2021-01-14 23:00:00	0	0	0	0	0	0	
336	2021-01-15 00:00:00	0	0	0	0	0	0	
337	2021-01-15 01:00:00	0	0	0	0	0	0	
338	2021-01-15 02:00:00	0	0	0	0	0	0	
339	2021-01-15 03:00:00	0	0	0	0	-0.497098269981333	0.06	
340	2021-01-15 04:00:00	0	0	0	0	-2.151340188653049	0.06	
341	2021-01-15 05:00:00	0	0	0	0	-4.206544077502846	0.04	
